3000000,"33.207042,-112.459886"
3000001,"33.207042,-112.457886"
3000002,"33.207042,-112.455886"
3000003,"33.207042,-112.453886"
3000004,"33.207042,-112.451886"
3000005,"33.207042,-112.449886"
3000006,"33.207042,-112.447886"
3000007,"33.207042,-112.445886"
3000008,"33.207042,-112.443886"
3000009,"33.207042,-112.441886"
3000010,"33.207042,-112.439886"
3000011,"33.207042,-112.437886"
3000012,"33.207042,-112.435886"
3000013,"33.207042,-112.433886"
3000014,"33.207042,-112.431886"
3000015,"33.207042,-112.429886"
3000016,"33.207042,-112.427886"
3000017,"33.207042,-112.425886"
3000018,"33.207042,-112.423886"
3000019,"33.207042,-112.421886"
3000020,"33.207042,-112.419886"
3000021,"33.207042,-112.417886"
3000022,"33.207042,-112.415886"
3000023,"33.207042,-112.413886"
3000024,"33.207042,-112.411886"
3000025,"33.207042,-112.409886"
3000026,"33.207042,-112.407886"
3000027,"33.207042,-112.405886"
3000028,"33.207042,-112.403886"
3000029,"33.207042,-112.401886"
3000030,"33.207042,-112.399886"
3000031,"33.207042,-112.397886"
3000032,"33.207042,-112.395886"
3000033,"33.207042,-112.393886"
3000034,"33.207042,-112.391886"
3000035,"33.207042,-112.389886"
3000036,"33.207042,-112.387886"
3000037,"33.207042,-112.385886"
3000038,"33.207042,-112.383886"
3000039,"33.207042,-112.381886"
3000040,"33.207042,-112.379886"
3000041,"33.207042,-112.377886"
3000042,"33.207042,-112.375886"
3000043,"33.207042,-112.373886"
3000044,"33.207042,-112.371886"
3000045,"33.207042,-112.369886"
3000046,"33.207042,-112.367886"
3000047,"33.207042,-112.365886"
3000048,"33.207042,-112.363886"
3000049,"33.207042,-112.361886"
3000050,"33.207042,-112.359886"
3000051,"33.207042,-112.357886"
3000052,"33.207042,-112.355886"
3000053,"33.207042,-112.353886"
3000054,"33.207042,-112.351886"
3000055,"33.207042,-112.349886"
3000056,"33.207042,-112.347886"
3000057,"33.207042,-112.345886"
3000058,"33.207042,-112.343886"
3000059,"33.207042,-112.341886"
3000060,"33.207042,-112.339886"
3000061,"33.207042,-112.337886"
3000062,"33.207042,-112.335886"
3000063,"33.207042,-112.333886"
3000064,"33.207042,-112.331886"
3000065,"33.207042,-112.329886"
3000066,"33.207042,-112.327886"
3000067,"33.207042,-112.325886"
3000068,"33.207042,-112.323886"
3000069,"33.207042,-112.321886"
3000070,"33.207042,-112.319886"
3000071,"33.207042,-112.317886"
3000072,"33.207042,-112.315886"
3000073,"33.207042,-112.313886"
3000074,"33.207042,-112.311886"
3000075,"33.207042,-112.309886"
3000076,"33.207042,-112.307886"
3000077,"33.207042,-112.305886"
3000078,"33.207042,-112.303886"
3000079,"33.207042,-112.301886"
3000080,"33.207042,-112.299886"
3000081,"33.207042,-112.297886"
3000082,"33.207042,-112.295886"
3000083,"33.207042,-112.293886"
3000084,"33.207042,-112.291886"
3000085,"33.207042,-112.289886"
3000086,"33.207042,-112.287886"
3000087,"33.207042,-112.285886"
3000088,"33.207042,-112.283886"
3000089,"33.207042,-112.281886"
3000090,"33.207042,-112.279886"
3000091,"33.207042,-112.277886"
3000092,"33.207042,-112.275886"
3000093,"33.207042,-112.273886"
3000094,"33.207042,-112.271886"
3000095,"33.207042,-112.269886"
3000096,"33.207042,-112.267886"
3000097,"33.207042,-112.265886"
3000098,"33.207042,-112.263886"
3000099,"33.207042,-112.261886"
3000100,"33.207042,-112.259886"
3000101,"33.207042,-112.257886"
3000102,"33.207042,-112.255886"
3000103,"33.207042,-112.253886"
3000104,"33.207042,-112.251886"
3000105,"33.207042,-112.249886"
3000106,"33.207042,-112.247886"
3000107,"33.207042,-112.245886"
3000108,"33.207042,-112.243886"
3000109,"33.207042,-112.241886"
3000110,"33.207042,-112.239886"
3000111,"33.207042,-112.237886"
3000112,"33.207042,-112.235886"
3000113,"33.207042,-112.233886"
3000114,"33.207042,-112.231886"
3000115,"33.207042,-112.229886"
3000116,"33.207042,-112.227886"
3000117,"33.207042,-112.225886"
3000118,"33.207042,-112.223886"
3000119,"33.207042,-112.221886"
3000120,"33.207042,-112.219886"
3000121,"33.207042,-112.217886"
3000122,"33.207042,-112.215886"
3000123,"33.207042,-112.213886"
3000124,"33.207042,-112.211886"
3000125,"33.207042,-112.209886"
3000126,"33.207042,-112.207886"
3000127,"33.207042,-112.205886"
3000128,"33.207042,-112.203886"
3000129,"33.207042,-112.085886"
3000130,"33.207042,-112.083886"
3000131,"33.207042,-112.081886"
3000132,"33.207042,-112.079886"
3000133,"33.207042,-112.077886"
3000134,"33.207042,-112.075886"
3000135,"33.207042,-112.073886"
3000136,"33.207042,-112.071886"
3000137,"33.207042,-112.069886"
3000138,"33.207042,-112.067886"
3000139,"33.207042,-112.065886"
3000140,"33.207042,-112.063886"
3000141,"33.207042,-112.061886"
3000142,"33.207042,-112.059886"
3000143,"33.207042,-112.057886"
3000144,"33.207042,-112.055886"
3000145,"33.207042,-112.053886"
3000146,"33.207042,-112.051886"
3000147,"33.207042,-112.049886"
3000148,"33.207042,-112.047886"
3000149,"33.207042,-112.045886"
3000150,"33.207042,-112.043886"
3000151,"33.207042,-112.041886"
3000152,"33.207042,-112.039886"
3000153,"33.207042,-112.037886"
3000154,"33.207042,-112.035886"
3000155,"33.207042,-112.033886"
3000156,"33.207042,-112.031886"
3000157,"33.207042,-112.029886"
3000158,"33.207042,-112.027886"
3000159,"33.207042,-112.025886"
3000160,"33.207042,-112.023886"
3000161,"33.207042,-112.021886"
3000162,"33.207042,-112.019886"
3000163,"33.207042,-112.017886"
3000164,"33.207042,-112.015886"
3000165,"33.207042,-112.013886"
3000166,"33.207042,-112.011886"
3000167,"33.207042,-112.009886"
3000168,"33.207042,-112.007886"
3000169,"33.207042,-112.005886"
3000170,"33.207042,-112.003886"
3000171,"33.207042,-112.001886"
3000172,"33.207042,-111.999886"
3000173,"33.207042,-111.997886"
3000174,"33.207042,-111.995886"
3000175,"33.207042,-111.891886"
3000176,"33.207042,-111.889886"
3000177,"33.207042,-111.887886"
3000178,"33.207042,-111.885886"
3000179,"33.207042,-111.883886"
3000180,"33.207042,-111.881886"
3000181,"33.207042,-111.879886"
3000182,"33.207042,-111.877886"
3000183,"33.207042,-111.875886"
3000184,"33.207042,-111.873886"
3000185,"33.207042,-111.871886"
3000186,"33.207042,-111.869886"
3000187,"33.207042,-111.867886"
3000188,"33.207042,-111.865886"
3000189,"33.207042,-111.863886"
3000190,"33.207042,-111.861886"
3000191,"33.207042,-111.859886"
3000192,"33.207042,-111.857886"
3000193,"33.207042,-111.855886"
3000194,"33.207042,-111.853886"
3000195,"33.207042,-111.851886"
3000196,"33.207042,-111.849886"
3000197,"33.207042,-111.847886"
3000198,"33.207042,-111.845886"
3000199,"33.207042,-111.843886"
3000200,"33.207042,-111.841886"
3000201,"33.207042,-111.839886"
3000202,"33.207042,-111.837886"
3000203,"33.207042,-111.835886"
3000204,"33.207042,-111.833886"
3000205,"33.207042,-111.831886"
3000206,"33.207042,-111.829886"
3000207,"33.207042,-111.827886"
3000208,"33.207042,-111.825886"
3000209,"33.207042,-111.823886"
3000210,"33.207042,-111.821886"
3000211,"33.207042,-111.819886"
3000212,"33.207042,-111.817886"
3000213,"33.207042,-111.815886"
3000214,"33.207042,-111.813886"
3000215,"33.207042,-111.811886"
3000216,"33.207042,-111.809886"
3000217,"33.207042,-111.807886"
3000218,"33.207042,-111.805886"
3000219,"33.207042,-111.803886"
3000220,"33.207042,-111.801886"
3000221,"33.207042,-111.799886"
3000222,"33.207042,-111.797886"
3000223,"33.207042,-111.795886"
3000224,"33.207042,-111.793886"
3000225,"33.207042,-111.791886"
3000226,"33.207042,-111.789886"
3000227,"33.207042,-111.787886"
3000228,"33.207042,-111.785886"
3000229,"33.207042,-111.783886"
3000230,"33.207042,-111.781886"
3000231,"33.207042,-111.779886"
3000232,"33.207042,-111.777886"
3000233,"33.207042,-111.775886"
3000234,"33.207042,-111.773886"
3000235,"33.207042,-111.771886"
3000236,"33.207042,-111.769886"
3000237,"33.207042,-111.767886"
3000238,"33.207042,-111.765886"
3000239,"33.207042,-111.763886"
3000240,"33.207042,-111.761886"
3000241,"33.207042,-111.759886"
3000242,"33.207042,-111.757886"
3000243,"33.207042,-111.755886"
3000244,"33.207042,-111.753886"
3000245,"33.207042,-111.751886"
3000246,"33.207042,-111.749886"
3000247,"33.207042,-111.747886"
3000248,"33.207042,-111.745886"
3000249,"33.207042,-111.743886"
3000250,"33.207042,-111.741886"
3000251,"33.207042,-111.739886"
3000252,"33.207042,-111.737886"
3000253,"33.207042,-111.735886"
3000254,"33.207042,-111.733886"
3000255,"33.207042,-111.731886"
3000256,"33.207042,-111.729886"
3000257,"33.207042,-111.727886"
3000258,"33.207042,-111.725886"
3000259,"33.207042,-111.723886"
3000260,"33.207042,-111.721886"
3000261,"33.207042,-111.719886"
3000262,"33.207042,-111.717886"
3000263,"33.207042,-111.715886"
3000264,"33.207042,-111.713886"
3000265,"33.207042,-111.711886"
3000266,"33.207042,-111.709886"
3000267,"33.207042,-111.707886"
3000268,"33.207042,-111.705886"
3000269,"33.207042,-111.703886"
3000270,"33.207042,-111.701886"
3000271,"33.207042,-111.699886"
3000272,"33.207042,-111.697886"
3000273,"33.207042,-111.695886"
3000274,"33.207042,-111.693886"
3000275,"33.207042,-111.691886"
3000276,"33.207042,-111.689886"
3000277,"33.207042,-111.687886"
3000278,"33.207042,-111.685886"
3000279,"33.207042,-111.683886"
3000280,"33.207042,-111.681886"
3000281,"33.207042,-111.679886"
3000282,"33.207042,-111.677886"
3000283,"33.207042,-111.675886"
3000284,"33.207042,-111.673886"
3000285,"33.207042,-111.671886"
3000286,"33.207042,-111.669886"
3000287,"33.207042,-111.667886"
3000288,"33.207042,-111.665886"
3000289,"33.207042,-111.663886"
3000290,"33.207042,-111.661886"
3000291,"33.207042,-111.659886"
3000292,"33.207042,-111.657886"
3000293,"33.207042,-111.655886"
3000294,"33.207042,-111.653886"
3000295,"33.207042,-111.651886"
3000296,"33.207042,-111.649886"
3000297,"33.207042,-111.647886"
3000298,"33.207042,-111.645886"
3000299,"33.207042,-111.643886"
3000300,"33.207042,-111.641886"
