GEO_ID,Income
4013010101,84948.00
04013010102,143897.00
04013030401,116602.00
04013030402,111875.00
04013040502,58633.00
04013040506,55647.00
04013040507,65769.00
04013040512,59323.00
04013040513,67606.00
04013040514,71332.00
04013040515,75577.00
04013040516,72903.00
04013040517,63298.00
04013040518,79531.00
4013040519,92650.00
04013040520,89219.00
04013040521,87404.00
04013040522,72759.00
04013040523,70250.00
04013040524,74250.00
04013040525,79196.00
04013040526,63370.00
04013040527,61534.00
04013040528,65574.00
04013040529,70495.00
04013040530,63650.00
04013040531,54975.00
04013050603,36513.00
04013050604,54886.00
04013050605,72768.00
04013050606,106109.00
04013050607,56806.00
04013050608,37500.00
04013050609,64758.00
04013050610,73688.00
04013050611,55089.00
04013050701,51853.00
04013050702,27500.00
04013060801,39783.00
04013060802,51250.00
04013060901,44671.00
04013060903,53977.00
04013060904,52821.00
04013061009,88661.00
04013061010,93182.00
04013061011,97639.00
04013061012,76349.00
04013061013,74167.00
04013061014,54889.00
04013061015,78750.00
04013061016,102000.00
04013061018,85256.00
04013061019,63051.00
04013061020,87554.00
04013061021,83125.00
04013061022,66047.00
04013061023,84667.00
04013061024,52391.00
04013061025,74353.00
04013061026,59926.00
04013061027,71000.00
04013061028,53042.00
04013061029,56750.00
04013061030,86830.00
04013061031,68750.00
04013061032,71389.00
04013061033,56583.00
04013061034,117841.00
04013061035,61645.00
04013061036,85069.00
04013061037,85066.00
04013061038,70387.00
04013061039,100772.00
04013061040,62321.00
04013061041,62833.00
04013061042,65682.00
04013061043,78750.00
04013061044,76125.00
04013061045,95945.00
04013061046,65484.00
04013061047,107656.00
04013061100,48750.00
04013061200,27961.00
04013061300,35682.00
04013061401,26842.00
04013061402,31902.00
04013071503,43086.00
04013071504,56514.00
04013071505,60053.00
04013071506,54882.00
04013071509,62326.00
04013071510,103205.00
04013071511,59559.00
04013071512,81086.00
04013071513,96786.00
04013071514,75705.00
04013071515,89489.00
04013071516,42279.00
04013071517,49153.00
04013071600,33056.00
04013071701,55000.00
04013071702,36518.00
04013071801,47446.00
04013071802,42679.00
04013071903,65455.00
04013071906,54444.00
04013071909,56188.00
04013071910,47220.00
04013071911,60962.00
04013071912,40833.00
04013071913,50568.00
04013071914,75625.00
04013071915,51146.00
04013082002,63750.00
04013082007,41071.00
04013082008,42500.00
04013082009,43789.00
04013082010,49300.00
04013082012,68608.00
04013082016,56417.00
04013082017,52500.00
04013082018,68713.00
04013082019,64038.00
04013082020,66852.00
04013082021,65179.00
04013082022,44188.00
04013082023,80385.00
04013082024,72008.00
04013082025,75417.00
04013082026,37224.00
04013082027,56364.00
04013082028,65481.00
04013082203,68723.00
04013082204,69792.00
04013082205,64028.00
04013082206,65469.00
04013082207,60227.00
04013082208,24423.00
04013082209,31750.00
04013082210,60568.00
04013082211,79188.00
04013083000,37434.00
04013092305,52813.00
04013092306,56136.00
04013092307,41014.00
04013092308,69104.00
04013092309,63571.00
04013092311,25455.00
04013092312,42524.00
04013092401,33750.00
04013092402,44330.00
04013092500,57286.00
04013092705,37371.00
04013092708,55673.00
04013092709,49773.00
04013092710,64154.00
04013092711,43958.00
04013092712,52245.00
04013092713,55357.00
04013092715,39028.00
04013092716,58333.00
04013092717,41625.00
04013092718,42039.00
04013092719,57193.00
04013092720,72167.00
04013092721,88500.00
04013092723,60658.00
04013092724,58214.00
04013092801,22839.00
04013092802,22813.00
04013092900,24241.00
04013093001,28227.00
04013093002,17324.00
04013093101,39688.00
04013093104,30810.00
04013093106,42500.00
04013093200,27386.00
04013103205,88125.00
04013103206,105893.00
04013103207,114750.00
04013103208,92950.00
04013103209,79238.00
04013103210,54435.00
04013103211,85750.00
04013103212,101842.00
04013103214,96905.00
04013103215,109063.00
04013103216,74485.00
04013103217,64338.00
04013103219,99796.00
04013103220,93393.00
04013103302,57188.00
04013103303,56875.00
04013103304,17656.00
04013103305,26765.00
04013103306,35286.00
04013103400,69527.00
04013103501,87708.00
04013103502,79000.00
04013103604,62557.00
04013103605,95481.00
04013103606,65132.00
04013103607,90144.00
04013103608,51719.00
04013103609,56213.00
04013103611,113578.00
04013103612,93152.00
04013103614,65644.00
04013103615,21232.00
04013103701,58711.00
04013103702,78977.00
04013103900,54444.00
04013104000,32689.00
04013104100,43447.00
04013104202,56000.00
04013104203,63958.00
04013104204,61522.00
04013104205,56410.00
04013104206,50710.00
04013104207,67206.00
04013104212,72958.00
04013104214,68500.00
04013104215,59167.00
04013104216,62978.00
04013104217,68304.00
04013104218,51732.00
04013104219,74514.00
04013104221,52054.00
04013104222,59031.00
04013104223,112250.00
04013104224,64856.00
04013104225,88672.00
04013104226,63824.00
04013104227,57961.00
04013104301,83882.00
04013104302,45000.00
04013104401,46146.00
04013104501,29188.00
04013104502,28971.00
