GEO_ID,Median Household Income
44007000101,42548
44007000102,44107
44007000200,41000
44007000300,36014
44007000400,25746
44007000500,25245
44007000600,46193
44007000700,16928
44007000800,28472
44007000900,30433
44007001000,24615
44007001100,48654
44007001200,34736
44007001300,45450
44007001400,40833
44007001500,52174
44007001600,50523
44007001700,42405
44007001800,31507
44007001900,27305
44007002000,26931
44007002101,54821
44007002102,52667
44007002200,34872
44007002300,53443
44007002400,69931
44007002500,62128
44007002600,29063
44007002700,31056
44007002800,40359
44007002900,37129
44007003100,36366
44007003200,84756
44007003300,83494
44007003400,176103
44007003500,63105
44007003601,49583
44007003602,86422
44007003700,40841
44007010101,70208
44007010102,65129
44007010200,57358
44007010300,39375
44007010400,50920
44007010501,50737
44007010502,59448
44007010600,52174
44007010701,82452
44007010702,74245
44007010800,28333
44007010900,31605
44007011000,33703
44007011100,31107
44007011200,52125
44007011301,78869
44007011302,101053
44007011401,99011
44007011402,116359
44007011403,83724
44007011500,63665
44007011600,103056
44007011701,53603
44007011702,78150
44007011800,45607
44007011901,60625
44007011902,57241
44007012000,67875
44007012102,51081
44007012103,49375
44007012104,49543
44007012200,91904
44007012300,57250
44007012401,67741
44007012402,64651
44007012500,46845
44007012601,85966
44007012602,75545
44007012701,94561
44007012702,76755
44007012801,83041
44007012802,75625
44007012803,90174
44007012900,55625
44007013001,92526
44007013002,76960
44007013101,91771
44007013102,89289
44007013201,93190
44007013202,93807
44007013300,82083
44007013400,83362
44007013500,50117
44007013600,66333
44007013701,63983
44007013702,62098
44007013800,82620
44007013900,55521
44007014000,58403
44007014100,35972
44007014200,92381
44007014300,66827
44007014400,80048
44007014501,125772
44007014502,55648
44007014600,99572
44007014700,43649
44007014800,54375
44007015000,62817
44007015100,31500
44007015200,13685
44007015300,43000
44007015400,43264
44007015500,49464
44007015600,45477
44007015700,68199
44007015800,62406
44007015900,54421
44007016000,36857
44007016100,33047
44007016300,67783
44007016400,37661
44007016500,72649
44007016600,53036
44007016700,49515
44007016800,45523
44007016900,72083
44007017000,66354
44007017100,42981
44007017300,47083
44007017400,29647
44007017500,47273
44007017600,34028
44007017700,59415
44007017800,20656
44007017900,30135
44007018000,19167
44007018100,39947
44007018200,46860
44007018300,29018
44007018400,49350
44007018500,59537
