GEO_ID,Income,Bins
13121006802,11736,11000
13121007808,13263,13000
13121007603,13982,13000
13121004200,16162,16000
13121003700,16830,16000
13121006602,18534,18000
13121007400,19552,19000
13121004400,20146,20000
13121007807,20792,20000
13121007604,20851,20000
13121005700,20980,20000
13121011800,21134,21000
13121003800,21181,21000
13121008601,21288,21000
13121008400,21422,21000
13121004800,22316,22000
13121007100,22452,22000
13121012000,23711,23000
13121008301,24053,24000
13121008500,24072,24000
13121005502,24489,24000
13121007705,25357,25000
13121006700,25449,25000
13121008102,25573,25000
13121006300,25676,25000
13121007300,26369,26000
13121007500,26604,26000
13121002300,26705,26000
13121006400,26958,26000
13121011000,27401,27000
13121002400,27453,27000
13121006100,27849,27000
13121008202,28032,28000
13121002800,28429,28000
13121002500,28667,28000
13121008302,29185,29000
13121007001,29295,29000
13121011900,29375,29000
13121010603,29491,29000
13121007200,29808,29000
13121011201,30170,30000
13121003900,30294,30000
13121005501,31000,31000
13121004000,31011,31000
13121005800,31288,31000
13121001002,31389,31000
13121010601,31891,31000
13121007602,32667,32000
13121002600,32763,32000
13121011305,32938,32000
13121007805,33054,33000
13121011306,33229,33000
13121008700,33339,33000
13121007704,33683,33000
13121006601,35197,35000
13121008602,35262,35000
13121004300,35483,35000
13121010604,35486,35000
13121007706,37473,37000
13121007002,37577,37000
13121010512,37674,37000
13121008201,37801,37000
13121007806,38232,38000
13121006200,40000,40000
13121008000,41217,41000
13121006000,41504,41000
13121008101,41597,41000
13121010510,41600,41000
13121011303,41674,41000
13121011202,42079,42000
13121001800,42107,42000
13121010507,42154,42000
13121010513,42265,42000
13121007703,43381,43000
13121003600,43906,43000
13121011420,44317,44000
13121010515,44354,44000
13121006500,44954,44000
13121010800,46875,46000
13121004100,47159,47000
13121002100,47917,47000
13121011421,48300,48000
13121010119,48530,48000
13121007802,49861,49000
13121003100,50526,50000
13121010516,50657,50000
13121010118,51728,51000
13121010400,52447,52000
13121010508,53103,53000
13121011301,53134,53000
13121000600,53728,53000
13121009403,54537,54000
13121010511,55926,55000
13121011100,56308,56000
13121003500,57083,57000
13121010117,58725,58000
13121010113,58765,58000
13121007900,59181,59000
13121001900,59375,59000
13121006900,59922,59000
13121001201,60074,60000
13121010209,60576,60000
13121010212,62974,62000
13121010514,63312,63000
13121008902,64383,64000
13121012300,66364,66000
13121002900,66687,66000
13121010208,66949,66000
13121011611,67666,67000
13121010303,68540,68000
13121010114,68698,68000
13121011405,69873,69000
13121009200,70197,70000
13121011422,70208,70000
13121001500,70404,70000
13121009402,71285,71000
13121010301,71382,71000
13121011414,71650,71000
13121011411,72009,72000
13121010110,72896,72000
13121001700,73558,73000
13121011614,73603,73000
13121010210,73761,73000
13121001600,74200,74000
13121009404,74761,74000
13121010120,74884,74000
13121000700,74891,74000
13121008903,75115,75000
13121010106,75375,75000
13121001300,76322,76000
13121010123,76567,76000
13121009101,76713,76000
13121011616,78306,78000
13121010304,78743,78000
13121001400,80168,80000
13121009102,80433,80000
13121001202,82188,82000
13121009603,82452,82000
13121009502,83143,83000
13121004900,83456,83000
13121005000,85250,85000
13121008904,85625,85000
13121010122,85966,85000
13121010121,86625,86000
13121011412,88141,88000
13121000400,88971,88000
13121011619,90537,90000
13121009602,91452,91000
13121000500,91765,91000
13121011417,92619,92000
13121011626,94219,94000
13121001001,95900,95000
13121005200,96866,96000
13121003200,99609,99000
13121010205,101341,101000
13121011424,101552,101000
13121010001,102917,102000
13121009601,104519,104000
13121005300,104750,104000
13121008800,105625,105000
13121003000,105950,105000
13121011613,106417,106000
13121011416,106615,106000
13121001100,106791,106000
13121009000,109388,109000
13121009300,110257,110000
13121011426,110650,110000
13121011617,113056,113000
13121011612,113182,113000
13121011625,114412,114000
13121011623,114439,114000
13121011610,117125,117000
13121011427,118200,118000
13121011410,118466,118000
13121011419,118819,118000
13121011618,125057,125000
13121011423,125096,125000
13121000200,128171,128000
13121010115,129722,129000
13121011620,130293,130000
13121009801,130313,130000
13121010108,131411,131000
13121009900,138654,138000
13121011622,142917,142000
13121010002,143516,143000
13121009501,144712,144000
13121011615,146431,146000
13121010211,150801,150000
13121011621,151397,151000
13121009802,152885,152000
13121011503,153768,153000
13121000100,154911,154000
13121011418,155429,155000
13121011506,161921,161000
13121011425,169181,169000
13121010204,169881,169000
13121011505,177727,177000
13121010206,188000,188000
13121011624,198641,198000
13121010107,200568,200000
13121011504,209484,209000
13121009700,210667,210000
